epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,42.9757,1.50245,9.60155,0.00564,0,0,0,0,1.17789,11.1566,0.00492,0.0012,0.0004,0.0012,0.0004,0.0972,0.0964,0.0012,0.0004
2,80.2231,1.09393,7.70801,0.00402,0,0,0,0,0.83043,8.3032,0.0032,0.00267327,0.00089109,0.00267327,0.00089109,0.0936733,0.0918911,0.00267327,0.00089109
3,114.63,0.86863,5.93561,0.00295,0,0,0,0,0.53829,6.81797,0.002,0.00411684,0.00137228,0.00411684,0.00137228,0.0901168,0.0873723,0.00411684,0.00137228
4,150.668,0.8493,3.6708,0.00282,0,0,0,0,0.47661,6.18271,0.00179,0.00553071,0.00184357,0.00553071,0.00184357,0.0865307,0.0828436,0.00553071,0.00184357
5,187.551,0.8501,2.64977,0.00237,0,0,0,0,0.4764,5.70962,0.00188,0.00691488,0.00230496,0.00691488,0.00230496,0.0829149,0.078305,0.00691488,0.00230496
6,222.808,0.82812,2.38217,0.00262,0,0,0,0,0.48765,5.43257,0.00197,0.00826935,0.00275645,0.00826935,0.00275645,0.0792694,0.0737565,0.00826935,0.00275645
7,259.188,0.8332,1.98932,0.00261,0,0,0,0,0.56011,5.13852,0.00214,0.00959412,0.00319804,0.00959412,0.00319804,0.0755941,0.069198,0.00959412,0.00319804
